< test(1) >
735 726 60
187 160 755
176 152 555
998 264 740
295 719 188
767 91 874
4 505 333
389 950 972
427 209 143
645 890 39
900 99 877
455 78 873
521 839 221
338 485 252
229 50 431
912 640 498
892 822 393
993 45 97
123 1000 907
753 783 574
423 58 407
781 514 74
140 180 95
50 246 285
689 634 474
536 325 251
186 927 947
199 242 740
743 387 61
374 793 827
143 986 545
10 401 816
601 810 906
639 367 60
399 424 231
977 961 649
576 62 798
702 673 760
599 614 100
107 35 709
123 822 934
880 656 420
615 3 755
855 504 560
705 631 126
556 373 212
71 211 189
881 869 955
360 246 325
614 65 681
338 924 413
210 251 860
483 75 759
11 593 88
534 234 370
67 445 732
611 723 473
767 310 474
901 295 544
914 267 87
271 365 715
244 280 278
709 830 564
639 57 325
220 250 597
818 210 880
606 610 676
176 523 608
450 511 970
3 89 67
270 462 535
403 677 745
905 889 263
11 729 700
673 108 145
626 307 315
48 910 472
492 663 598
379 414 549
958 940 933
824 399 264
16 916 775
320 304 130
887 877 330
841 789 375
153 815 471
870 737 968
920 118 424
108 74 223
513 361 244
773 836 121
975 671 314
407 791 491
556 979 34
65 550 562
120 255 220
293 525 846
458 356 977
192 681 520
141 557 748
515 621 634
276 500 601
675 306 800
22 606 845
116 438 816
296 171 118
274 892 742
123 872 655
331 226 803
321 355 181
264 584 10
16 208 781
672 369 588
487 773 960
21 494 474
825 277 980
481 332 868
438 871 328
340 459 884
163 924 303
159 379 147
887 558 273
588 277 144
429 924 2
783 920 248
538 423 536
339 9 617
350 168 412
170 641 985
862 600 350
320 358 557
968 786 732
358 523 60
881 275 108
58 54 189
581 585 526

------ INPUT END --------
------ ANSWER START -----
212865

------ ANSWER END -------
< test(16) >
------ INPUT START ------
719
370 507 243
264 799 863
387 60 328
896 443 900
953 18 392
713 265 241
704 952 108
814 308 15
192 885 282
163 766 340
192 411 393
958 133 40
423 449 155
42 114 350
305 712 855
90 966 88
794 129 318
261 931 643
77 493 731
734 775 28
226 707 239
26 330 887
556 580 890
459 636 476
888 830 693
609 60 370
612 426 800
834 777 977
221 528 835
995 673 72
570 553 40
514 408 987
124 233 902
105 963 693
8 782 602
189 815 740
963 610 107
461 861 835
961 85 61
352 153 872
92 700 450
961 568 96
643 412 69
609 780 970
890 471 17
733 938 987
560 209 996
999 664 714
502 195 334
890 449 65
206 143 89
972 214 38
252 304 182
775 972 744
716 990 815
455 284 665
75 840 367
337 62 602
65 777 503
825 768 122
785 597 466
629 807 804
225 299 145
930 176 509
396 387 548
651 576 5
838 428 746
44 75 846
312 269 168
18 867 350
819 643 168
367 668 643
437 245 890
151 989 433
118 519 231
825 547 910
308 669 591
458 614 287
310 888 635
630 715 243
621 686 825
387 292 814
881 762 964
550 117 838
741 151 439
330 165 577
228 852 113
705 124 822
604 632 998
850 387 353
254 627 707
655 161 370
247 539 556
547 229 412
933 848 469
965 128 553
466 452 111
876 846 950
217 86 237
886 299 269
862 241 88
63 858 809
478 586 392
477 2 289
643 236 963
812 942 347
344 435 803
529 630 170
184 537 945
462 432 480
809 854 675
545 700 970
452 645 92
13 944 757
900 331 870
554 638 755
506 722 530
491 148 304
766 435 613
420 949 46
290 570 330
743 122 366
774 771 763
169 238 968
449 54 641
613 930 45
874 393 784
541 819 391
215 305 457
89 466 306
608 318 559
715 543 794
28 301 422
630 621 910
931 134 649
252 528 646
314 978 309
648 930 428
715 752 208
499 66 718
430 243 196
212 764 185
600 136 454
959 765 255
958 31 213
887 371 754
975 414 206
678 595 844
264 677 717
165 919 179
289 6 849
224 443 885
383 194 920
151 135 862
794 591 575
489 45 899
894 76 297
822 367 535
22 544 804
702 933 92
50 246 984
771 228 989
459 522 447
33 115 665
606 545 791
910 225 673
194 335 300
254 243 710
599 760 84
167 333 154
395 116 917
573 246 182
306 308 279
461 809 265
525 419 48
198 985 344
770 916 289
197 726 7
663 921 244
164 446 747
463 267 375
114 852 429
823 412 61
499 19 611
762 352 947
324 227 54
341 419 953
562 680 966
499 617 164
336 262 662
258 891 203
64 901 802
698 762 114
364 865 877
179 893 183
715 649 998
878 821 221
549 678 485
237 247 38
641 788 558
708 493 213
424 451 37
165 284 929
17 498 535
845 184 186
234 889 603
432 311 227
24 307 847
1000 311 117
96 941 146
384 438 25
555 204 146
746 453 547
578 429 317
938 151 161
955 200 731
20 543 696
5 165 525
535 63 705
49 566 908
831 251 229
542 115 133
352 940 168
65 190 109
182 972 530
948 124 376
41 904 768
721 933 724
791 244 241
51 868 295
419 615 329
665 860 552
680 240 936
990 340 248
421 285 913
24 132 326
1000 173 331
319 209 196
851 287 392
830 936 3
999 95 410
440 250 247
250 661 897
527 752 889
412 928 753
486 856 175
51 92 493
109 52 307
51 593 611
219 826 680
41 857 352
223 841 958
358 366 704
902 362 626
569 940 541
251 976 915
737 826 227
76 463 314
45 515 795
268 210 533
892 690 953
886 749 102
597 241 387
915 255 965
897 198 714
529 837 567
271 769 672
703 172 327
694 953 779
179 379 233
698 127 86
503 325 882
79 316 669
170 190 571
278 645 763
244 566 54
545 834 924
490 556 282
648 742 996
657 235 521
951 569 82
481 848 962
294 830 988
533 386 891
442 865 907
595 993 953
786 442 205
578 964 226
243 803 299
642 191 727
72 664 523
518 544 283
718 56 368
782 610 351
653 909 239
63 315 883
320 703 147
330 416 276
60 732 40
395 382 125
494 642 764
880 56 424
471 442 625
390 682 233
482 194 831
652 289 104
545 708 576
436 416 925
853 345 499
850 501 268
769 556 657
579 270 290
981 795 631
682 434 808
741 783 449
228 73 211
843 267 618
697 420 856
796 853 810
49 852 693
271 512 948
379 855 417
478 490 814
129 88 312
563 25 134
520 51 895
328 935 529
532 232 974
953 191 821
124 986 644
82 181 450
667 848 852
593 378 348
60 922 920
429 75 748
885 208 748
565 738 252
845 545 650
32 859 522
862 405 646
13 840 832
658 690 952
953 345 773
768 527 914
593 56 319
909 413 507
773 485 772
532 143 916
302 333 298
514 415 828
493 20 819
901 162 725
938 327 67
382 967 768
216 865 144
867 112 240
404 151 196
167 243 74
107 104 587
805 952 41
66 977 601
694 149 763
567 757 814
826 608 881
497 322 586
64 831 181
679 35 811
314 621 616
349 557 853
783 493 682
737 344 759
521 39 305
569 686 51
898 542 795
468 906 22
562 232 439
426 565 445
509 272 28
130 703 129
42 365 977
34 870 503
797 404 207
754 122 928
828 3 163
271 800 465
569 614 257
497 387 186
542 825 331
318 838 494
434 163 593
180 732 422
111 983 915
235 645 855
326 160 578
513 128 570
244 846 167
459 544 40
127 880 874
817 684 751
39 760 715
394 254 295
58 473 1000
76 301 779
595 211 477
782 76 642
245 346 711
226 416 232
591 44 777
945 22 687
789 940 873
843 79 483
286 896 184
949 422 110
301 841 614
380 735 671
725 49 332
893 399 265
579 382 197
37 969 643
795 486 138
895 890 577
110 23 165
321 427 836
947 405 287
828 802 200
323 319 660
28 826 736
961 501 499
534 211 326
660 851 64
448 401 969
537 475 805
911 160 544
353 44 864
134 528 381
781 83 627
248 73 623
102 250 873
468 392 914
124 131 986
117 727 610
549 996 581
335 279 147
427 639 578
677 311 281
763 402 340
105 240 658
746 402 448
900 595 470
960 959 42
141 781 512
686 462 930
606 31 815
901 104 198
778 106 460
73 910 302
916 186 865
803 101 289
65 834 200
588 777 773
872 271 897
108 804 727
442 110 191
60 605 220
327 979 732
425 816 236
693 933 701
897 909 400
434 750 525
705 49 374
909 337 669
112 368 200
95 481 176
372 269 643
539 235 236
541 220 972
175 346 887
401 824 871
635 225 870
513 273 38
410 627 583
773 413 49
997 220 598
108 761 580
189 88 216
775 415 323
842 953 517
202 415 738
305 222 595
872 772 903
166 363 777
33 182 476
282 157 871
402 674 489
915 860 256
479 969 667
356 21 929
947 764 23
63 467 817
937 331 285
192 609 973
121 217 506
566 204 484
867 467 520
969 395 950
874 817 551
945 500 460
68 445 583
439 591 485
408 621 775
511 371 830
379 842 298
323 656 517
361 481 475
900 861 766
77 82 436
8 162 912
51 492 345
219 217 680
868 657 179
233 502 817
78 501 83
811 885 154
616 254 951
316 687 764
956 709 285
460 219 91
629 312 50
134 397 131
354 569 575
577 515 233
801 652 704
175 240 872
976 656 143
475 918 803
870 67 559
291 317 846
11 102 889
796 566 221
588 118 638
751 860 508
438 738 322
838 790 857
201 639 939
742 12 301
704 718 416
460 945 400
198 16 729
781 883 545
659 252 385
524 559 244
697 675 146
746 76 460
385 298 550
128 923 823
191 557 998
322 998 677
419 892 759
926 849 611
271 630 524
473 469 807
939 805 739
974 213 894
650 505 71
277 97 716
83 646 42
769 991 603
496 182 242
91 91 984
858 109 138
933 973 547
68 536 789
857 838 71
607 635 196
881 142 433
69 863 972
183 410 719
236 826 375
418 434 580
435 233 422
833 323 516
894 458 341
125 3 588
979 10 191
356 997 171
379 556 908
945 420 293
513 332 599
115 624 346
682 542 352
531 396 111
939 537 353
350 894 769
396 281 637
724 447 8
519 974 799
662 806 351
284 523 955
626 635 350
866 482 209
197 717 957
791 788 358
531 914 42
512 203 206
569 843 671
624 863 330
645 425 239
261 660 638
637 570 989
536 309 641
581 216 277
171 425 443
128 772 185
753 751 532
157 860 230
155 275 715
79 300 427
371 84 594
860 225 315
551 267 5
163 884 237
723 266 258
494 697 773
484 439 560
883 133 973
221 489 11
79 662 284
116 719 472
685 487 986
78 662 815
817 669 279
275 512 827
139 811 326
240 801 418
423 454 845
543 351 669
655 664 297
885 838 372
918 698 817
880 93 338
106 242 967
68 672 472
863 944 137
898 6 752
238 395 766
67 13 451
930 860 123
563 306 105
701 443 79
572 487 603
29 325 255
281 586 386
231 916 287
754 106 276
482 961 184
994 769 261
413 426 748
662 976 480
213 720 683
280 67 564
490 983 403
915 268 526
94 663 401
329 225 3
454 788 130
293 743 137
183 334 868
497 688 870
949 244 15
159 193 468
178 596 348
230 45 174
322 759 185
89 31 645
39 870 301
302 758 587
775 489 724
200 24 512
987 45 432
70 376 20
969 775 918
309 436 716
627 792 798
175 423 921
418 28 428
144 316 130
706 294 194
288 611 181
195 546 974
545 611 393
386 19 430
12 37 288
909 872 865
612 215 697
239 336 682
827 294 783
996 695 202
578 980 495
268 188 194
856 45 153
868 502 73
29 95 271
671 922 327
640 851 149
495 52 70
497 496 654
313 110 51
82 333 114
657 414 790
881 388 457
329 69 809
813 206 503
775 363 751
863 285 880
270 583 385
924 934 479
885 748 651
746 4 535
227 683 409

------ INPUT END --------
------ ANSWER START -----
511415

------ ANSWER END -------
< test(17) >
------ INPUT START ------
982
795 453 267
229 669 810
765 791 37
822 482 899
746 330 46
223 813 835
913 356 562
875 687 762
27 371 19
998 212 805
545 369 340
350 289 329
642 379 696
539 574 946
454 54 734
768 86 73
93 436 252
731 607 807
634 423 990
572 863 466
791 549 823
965 990 128
529 639 423
560 43 836
885 242 517
771 801 53
42 205 480
995 13 886
519 834 926
685 388 307
890 884 902
763 302 46
203 21 662
606 597 247
90 327 259
281 760 744
98 72 321
230 654 593
700 44 119
852 732 596
275 596 147
818 907 778
108 468 767
155 228 978
554 667 393
201 58 507
888 836 672
728 322 502
105 873 687
670 224 214
164 693 147
132 336 265
340 286 389
984 323 510
408 834 80
851 632 399
382 520 58
125 136 525
664 528 695
15 674 554
54 388 25
926 87 285
586 28 654
153 281 445
855 507 345
464 847 992
410 536 414
861 33 818
752 52 532
257 977 294
122 275 780
902 985 37
736 333 529
99 252 212
496 327 694
923 421 597
42 998 701
584 314 443
716 307 565
823 556 331
258 632 274
574 891 443
754 79 672
656 69 284
26 981 678
968 646 524
476 84 286
890 900 573
102 970 623
478 728 28
463 121 854
140 892 739
9 477 831
204 151 641
505 426 36
500 839 970
516 65 139
671 706 116
154 681 554
156 94 546
914 367 57
654 122 585
298 176 97
813 243 450
192 428 236
393 658 166
894 781 747
127 215 145
153 100 184
37 875 823
185 860 212
541 959 602
199 906 766
937 644 825
917 465 335
964 648 274
713 940 495
914 106 391
590 850 358
213 69 274
189 658 15
537 711 371
272 548 604
923 611 867
838 162 464
5 973 385
477 416 592
1000 813 235
887 4 879
112 729 982
58 278 99
500 874 3
792 204 914
387 599 463
770 262 939
772 252 715
682 496 878
722 30 245
875 155 253
432 866 817
501 133 189
31 797 10
45 877 562
2 527 820
246 728 587
890 166 75
621 277 453
324 640 116
496 606 763
959 688 352
493 936 86
929 777 544
764 837 509
430 308 295
638 772 252
62 733 777
594 83 671
879 725 468
717 321 317
493 643 224
747 60 475
981 965 503
12 508 502
424 659 907
230 681 524
382 51 667
13 545 756
790 244 727
465 674 536
484 154 705
509 549 560
990 108 854
788 745 595
503 981 848
474 662 914
334 505 527
331 861 839
939 422 872
591 50 489
779 684 774
314 928 101
869 585 89
453 132 715
353 671 677
857 801 969
578 624 667
26 162 268
338 664 655
966 409 105
408 810 16
267 665 896
827 477 482
812 645 261
526 312 782
881 139 511
438 42 439
974 112 608
334 601 553
278 391 432
108 362 372
542 705 586
770 747 114
867 24 176
892 580 408
518 36 649
958 498 675
252 996 855
504 312 831
894 903 231
946 839 354
877 975 443
819 281 954
322 305 496
675 690 789
675 290 241
380 343 785
829 335 376
624 43 807
436 209 23
853 413 424
393 917 451
838 789 711
248 840 654
330 158 478
91 690 226
419 435 150
455 830 732
57 176 759
24 792 37
378 454 615
7 103 130
223 910 652
208 228 131
535 499 116
221 215 200
989 85 648
880 161 366
892 266 11
881 306 25
921 429 956
375 176 647
544 734 423
341 422 186
769 55 744
698 471 135
883 271 531
964 842 999
42 414 69
304 29 179
392 440 728
166 923 805
982 453 979
554 854 122
280 169 248
325 883 757
171 957 732
362 390 837
399 49 955
244 117 273
415 662 796
469 674 716
957 166 996
680 114 339
740 795 746
472 632 93
215 454 428
649 844 609
775 362 288
218 788 216
732 86 471
232 653 433
529 302 217
974 567 911
413 302 723
300 509 467
591 23 615
562 220 662
23 268 141
643 418 111
668 348 112
299 357 601
507 785 878
821 32 478
135 219 890
87 60 576
948 978 468
475 872 523
466 85 848
185 599 184
906 545 635
801 769 645
411 329 879
612 816 37
979 354 836
455 610 656
283 599 615
689 801 546
977 81 379
554 210 386
888 521 520
658 817 464
867 877 727
462 183 87
607 782 444
299 88 607
539 601 676
715 910 929
150 283 474
88 191 126
798 167 515
377 860 149
419 138 36
243 176 858
94 317 239
574 395 109
340 242 395
355 446 582
184 870 233
923 992 331
700 544 436
77 145 684
519 123 33
293 260 628
969 801 202
782 308 793
530 994 146
894 329 826
224 670 637
21 975 189
794 656 239
516 586 735
957 359 829
349 400 26
164 67 853
233 532 22
272 183 260
999 513 87
128 427 201
478 554 196
209 98 745
202 431 878
116 151 582
644 243 474
343 771 899
250 85 592
622 360 577
612 698 65
211 474 274
497 663 172
625 70 948
939 273 180
112 533 42
430 24 60
399 502 96
36 568 357
895 947 562
119 307 942
293 866 769
7 837 128
61 318 944
522 210 941
409 773 494
270 207 243
520 692 146
302 820 734
565 904 728
629 914 711
546 146 747
308 445 468
90 233 291
854 811 636
796 41 178
527 681 810
813 767 154
605 301 238
786 411 321
497 855 603
301 595 226
61 275 868
931 70 153
187 542 942
8 756 437
681 952 17
926 139 816
261 395 441
257 150 997
785 281 661
642 723 367
931 706 400
885 907 746
28 590 730
455 294 481
120 116 79
94 936 176
331 24 858
312 610 574
794 961 923
387 744 674
132 571 218
446 15 339
234 452 796
942 205 570
781 430 399
447 929 128
925 498 708
193 38 386
703 40 810
164 438 269
865 162 668
802 624 589
875 705 117
170 219 356
62 892 76
990 282 548
406 654 25
337 616 10
265 536 792
816 353 319
817 552 680
25 641 168
157 105 827
330 742 645
51 956 380
531 243 758
321 175 556
384 889 891
75 427 871
18 88 915
23 157 802
117 729 184
928 996 928
10 996 731
401 442 925
714 483 413
260 572 541
583 34 679
785 640 114
816 496 44
527 418 81
313 309 778
689 137 722
559 784 774
203 743 168
185 820 827
566 416 670
920 50 813
275 514 704
873 248 616
415 572 911
637 127 307
576 439 285
428 784 964
945 110 607
244 525 807
269 685 441
479 45 191
716 982 43
291 408 596
73 207 165
680 961 7
81 108 30
423 934 59
664 94 947
182 262 433
615 593 235
907 292 630
640 998 429
763 501 439
551 994 733
499 642 220
721 863 378
666 183 975
453 934 754
715 661 791
410 221 225
875 961 218
223 110 959
137 967 2
162 886 868
567 808 41
40 566 557
746 724 509
782 288 259
39 31 73
561 761 796
833 807 410
298 131 270
9 662 952
717 107 319
575 883 966
952 623 862
675 291 815
382 783 810
749 712 284
519 323 204
993 776 393
332 854 778
800 48 199
607 970 5
31 842 175
295 483 417
851 249 42
215 759 5
498 901 75
178 199 143
857 34 296
260 683 8
850 198 538
465 753 730
705 388 697
549 811 516
526 166 525
977 255 795
142 341 727
332 673 659
38 404 530
550 583 693
118 721 269
419 752 618
608 941 122
983 20 85
5 280 354
751 77 274
868 294 927
866 681 535
185 509 845
649 618 864
372 46 971
872 633 389
31 676 628
354 500 678
428 631 904
46 788 510
209 573 928
177 185 644
244 67 812
965 147 738
6 512 405
162 910 256
483 681 800
788 865 869
767 367 687
437 692 773
301 477 436
367 111 255
345 473 736
750 503 553
592 350 516
318 821 228
983 921 208
326 303 403
688 108 219
248 941 240
309 37 612
70 747 692
673 508 574
312 55 223
145 776 354
775 583 986
497 471 23
962 167 476
904 279 180
469 228 446
776 766 347
71 747 829
204 649 86
61 466 202
276 782 602
32 681 733
176 355 978
169 557 402
757 619 118
523 870 159
984 516 248
356 548 614
507 81 761
963 572 276
906 643 170
441 639 848
894 332 812
845 879 946
574 614 990
809 813 321
46 911 544
498 818 573
545 706 560
779 295 200
895 537 104
346 893 9
395 984 980
160 316 832
48 557 853
893 54 975
202 395 189
144 939 795
844 776 307
821 507 99
409 61 951
299 152 686
651 124 856
848 611 876
417 39 275
738 178 630
561 850 341
404 739 684
127 867 894
942 154 327
965 389 47
235 475 967
663 633 82
700 272 666
22 238 27
277 455 937
627 145 733
93 129 884
533 206 365
740 713 281
690 427 303
263 141 783
566 749 72
75 205 548
656 198 655
972 706 713
18 219 967
807 12 115
35 646 850
779 155 170
138 921 80
109 713 193
827 286 801
62 843 290
907 943 828
264 159 175
30 55 544
270 322 956
787 680 961
533 103 943
161 299 122
775 381 833
481 259 585
572 829 712
919 938 825
897 310 745
785 485 886
546 919 609
397 304 284
269 771 52
322 979 714
1 417 396
742 646 551
804 16 511
752 414 52
964 289 21
910 237 404
668 108 477
505 809 427
59 105 843
504 722 789
872 573 583
262 576 140
728 680 619
560 34 853
491 609 632
333 762 135
470 662 8
317 129 815
191 356 676
227 59 939
181 459 444
960 621 861
997 134 609
414 125 914
387 154 847
996 363 548
567 246 821
864 552 206
274 307 140
524 691 1
2 939 29
553 106 503
800 722 750
142 447 382
678 621 505
232 442 131
173 32 13
739 659 244
542 53 610
793 43 673
130 463 468
786 47 898
540 446 280
365 606 194
172 75 126
62 767 6
730 431 293
750 430 339
931 218 747
692 866 999
989 751 520
159 891 696
198 890 530
340 716 267
144 405 427
812 190 451
129 21 690
803 687 983
134 114 419
155 291 834
730 13 864
54 309 426
189 31 141
315 972 865
478 429 707
914 562 313
362 24 694
519 542 207
559 658 92
330 613 364
301 959 158
775 305 571
346 644 782
985 67 294
81 585 817
931 919 406
34 173 675
552 539 730
998 885 379
172 824 216
355 937 69
16 355 804
545 46 26
238 265 912
281 625 685
175 173 710
761 653 121
770 676 256
35 640 701
701 297 187
455 269 698
496 880 982
699 389 559
401 851 591
527 314 694
158 540 323
716 275 33
805 900 391
459 741 345
306 309 736
431 2 885
846 689 571
162 239 327
457 268 368
603 31 218
883 329 589
771 121 15
14 985 649
872 942 451
131 245 680
870 796 189
97 869 179
632 141 646
404 292 36
567 745 78
318 910 221
121 329 212
661 8 116
966 906 341
171 122 825
30 452 917
518 709 32
27 299 60
59 332 521
547 858 922
183 513 944
172 582 793
581 839 326
767 676 691
662 18 183
610 521 489
355 886 80
289 573 746
109 244 378
853 247 110
44 110 531
537 129 228
372 119 64
585 912 88
94 375 135
63 284 152
189 219 123
775 872 937
938 195 673
203 195 901
305 394 824
30 593 890
284 911 244
965 193 526
525 734 934
655 411 782
713 15 906
694 834 158
37 922 896
461 246 641
69 72 533
744 86 352
384 475 786
598 998 327
946 979 317
715 251 374
942 106 143
805 41 231
827 103 463
934 355 789
433 920 158
142 56 876
938 122 330
6 938 303
408 228 792
133 385 343
92 584 41
627 969 367
768 217 911
245 601 458
942 481 399
579 209 527
71 197 621
398 859 547
835 591 346
234 929 301
85 569 938
151 522 645
660 289 494
851 314 495
12 542 25
126 777 891
792 789 757
305 342 748
866 637 750
735 309 965
431 159 741
182 316 176
811 248 874
693 636 265
454 364 154
66 194 826
736 278 549
7 720 749
559 281 527
384 634 748
837 555 235
275 330 507
987 156 189
987 559 929
304 899 131
387 77 28
275 981 174
201 749 515
841 910 131
766 943 184
189 119 963
475 842 137
777 788 514
553 901 755
329 515 67
998 807 870
363 864 11
544 444 743
373 491 400
862 561 270
568 734 747
292 85 196
897 759 355
465 138 307
29 832 847
427 521 958
909 604 632
784 250 836
131 128 346
214 63 247
563 919 612
571 942 143
444 745 341
373 266 795
145 439 400
755 305 611
870 660 328
170 290 466
256 125 1000
357 144 239
453 345 627
713 127 402
882 550 896
530 781 951
33 140 71
261 760 926
627 995 954
209 576 241
655 508 602
991 730 191
51 172 176
996 712 778
755 235 828
855 211 974
826 281 302
563 911 185
172 775 35
124 541 569
378 996 238
788 798 917
526 691 611
70 405 320
507 469 926
509 547 717
242 288 810
133 907 779
228 246 367
289 273 300
393 353 414
494 42 39
328 607 977
500 432 569
28 741 703
389 422 472
545 890 749
57 321 634
839 699 23
364 680 25
683 759 29
710 334 504
747 283 47
184 452 103
807 625 382
927 46 439
489 50 801
266 450 992
698 527 427
516 407 721
812 72 709
295 143 154
100 1 438
288 499 386
376 996 506
655 161 738
848 794 146
489 76 632
161 673 372
314 85 176
429 986 192
14 748 154
732 448 839
634 531 754
518 12 576
684 243 529
202 440 641
385 389 905
482 812 410
498 950 907
71 743 172
453 538 26
981 137 225
410 899 477
566 12 41
636 984 51
745 387 852
905 735 390
959 658 883
469 625 204
41 82 468
392 855 167
667 692 898
812 577 378
542 628 320
737 320 880
92 10 403
397 655 115
297 531 312
35 100 254
641 682 228
136 439 364
412 775 440
122 713 462
484 147 424

------ INPUT END --------
------ ANSWER START -----
680096

------ ANSWER END -------
< test(18) >
------ INPUT START ------
63
181 736 82
759 906 407
504 228 187
850 615 989
234 911 259
957 304 304
500 648 337
949 218 166
765 76 982
412 734 6
117 485 869
732 200 286
46 977 148
486 674 463
379 413 486
644 883 235
650 229 626
618 376 84
198 755 844
438 946 419
735 27 944
964 650 26
368 222 296
86 58 596
852 615 499
396 421 211
275 379 424
184 573 881
256 300 723
506 845 223
609 767 379
658 94 915
528 382 957
889 739 359
565 846 36
136 319 531
835 210 184
781 875 673
439 962 274
144 601 836
113 97 722
828 852 268
793 30 874
514 59 214
906 436 515
435 574 448
421 63 424
837 946 635
198 79 312
111 834 113
991 485 841
258 520 612
2 720 366
430 438 528
680 752 734
174 409 728
499 150 409
456 947 965
467 491 208
316 731 369
434 355 749
164 130 132
952 615 776

------ INPUT END --------
------ ANSWER START -----
44384

------ ANSWER END -------
< test(19) >
------ INPUT START ------
7
909 185 619
581 812 475
796 459 413
969 876 271
340 330 224
72 302 79
538 179 111

------ INPUT END --------
------ ANSWER START -----
4573

------ ANSWER END -------
< test(20) >
------ INPUT START ------
701
240 328 495
998 526 944
500 755 278
407 140 718
406 316 519
947 96 135
309 215 350
997 698 853
445 626 776
965 130 415
681 27 377
99 228 779
379 342 653
159 907 128
913 268 437
864 648 56
383 585 736
618 647 984
753 689 165
801 209 573
207 54 694
398 394 902
197 857 474
231 987 144
737 949 455
415 283 307
959 112 618
16 841 290
690 500 357
11 771 153
909 600 973
696 487 254
942 685 174
985 166 90
763 202 743
848 4 10
222 588 620
483 577 208
519 484 734
495 187 514
201 834 322
612 289 551
939 566 388
649 258 866
558 225 238
88 150 79
97 438 721
386 614 454
526 231 108
275 66 478
891 812 600
752 175 129
43 784 540
738 70 185
358 481 378
66 590 61
144 202 842
474 964 520
286 566 811
802 998 187
312 420 840
238 939 959
835 164 663
874 732 743
241 358 91
626 199 706
391 38 485
94 746 822
964 356 560
385 643 775
227 950 299
60 33 953
972 294 822
840 569 889
446 352 635
681 786 610
143 331 499
872 125 416
387 63 121
27 236 771
40 721 446
808 578 208
286 923 698
559 647 316
128 855 530
607 45 134
392 58 564
816 56 745
147 594 961
889 360 29
477 863 479
130 334 321
335 511 833
780 218 595
128 514 758
517 266 727
562 323 41
11 810 694
51 290 576
812 233 82
222 706 397
794 991 849
91 865 788
163 714 878
979 386 324
746 282 939
638 142 238
35 481 5
107 960 764
2 575 432
250 367 41
138 511 34
935 316 29
217 915 759
855 741 59
419 267 248
412 512 545
797 959 656
818 341 977
727 690 322
48 828 733
694 662 319
317 903 128
543 963 184
928 879 251
573 396 544
882 588 592
755 398 574
976 114 199
667 683 749
830 139 50
606 257 683
65 863 364
865 107 790
226 287 141
82 988 405
126 424 789
643 898 791
600 31 358
386 777 798
909 803 794
911 650 127
89 700 176
848 204 304
715 687 119
169 236 869
303 650 33
159 476 366
56 873 432
390 82 597
977 14 493
233 874 402
636 588 694
949 771 398
955 373 57
241 547 640
566 503 96
794 603 604
71 591 63
612 709 200
51 611 900
238 984 821
322 633 368
887 300 798
578 537 547
458 748 250
157 405 287
920 304 439
772 139 647
897 231 687
149 284 806
183 580 360
786 167 379
86 697 736
146 888 420
219 385 22
464 494 531
674 346 423
539 217 795
134 407 772
85 655 33
190 928 705
63 427 346
371 345 935
560 304 752
791 112 83
599 574 667
70 666 230
788 115 215
549 994 933
719 254 103
330 538 243
107 969 671
819 721 465
659 299 278
133 119 297
694 929 534
845 365 703
601 562 391
254 953 771
338 245 936
769 582 198
683 405 286
437 313 317
338 690 493
27 858 386
588 357 988
789 244 781
851 806 953
841 255 66
924 423 573
156 518 954
966 239 90
141 67 288
521 467 290
457 530 771
329 597 597
616 131 101
418 870 708
221 511 220
647 420 307
594 131 25
760 180 146
64 588 105
989 357 669
9 345 717
631 300 374
344 863 145
449 571 287
719 813 386
236 552 219
259 420 944
534 559 348
956 735 778
112 767 217
539 20 122
591 213 308
781 802 890
165 124 769
135 284 887
764 192 273
512 546 859
222 632 748
86 245 373
911 331 135
877 657 489
896 556 517
919 333 264
250 446 134
962 868 830
990 528 849
847 99 655
99 935 717
117 937 387
201 143 294
956 971 883
82 90 483
668 541 832
476 589 874
611 4 690
94 28 35
871 200 947
236 773 409
695 452 87
777 784 447
611 662 498
800 164 866
267 103 615
476 666 133
173 477 984
321 364 47
335 589 102
678 317 376
509 20 305
356 304 407
738 276 165
610 420 750
224 843 875
751 912 651
317 684 452
833 195 133
125 144 243
141 354 942
174 129 592
493 462 795
462 753 962
860 533 59
249 518 66
730 359 597
118 117 17
703 252 57
187 468 457
669 481 701
52 914 207
964 100 948
235 669 638
68 567 845
998 707 79
596 852 750
592 507 476
538 436 254
466 132 988
735 134 512
960 601 723
29 979 4
834 150 542
908 118 299
794 771 209
414 836 469
741 958 375
880 146 201
789 967 703
652 271 578
394 182 623
753 628 165
455 514 712
538 780 151
336 294 127
153 857 948
79 888 476
186 890 454
851 748 811
849 421 207
440 894 249
695 229 315
408 577 364
134 381 480
650 908 157
391 286 763
430 14 951
634 185 685
348 642 783
401 346 237
159 86 776
540 520 619
989 720 282
710 816 752
586 12 699
398 911 123
152 911 505
273 875 850
830 871 85
473 593 74
263 214 943
454 799 733
350 710 303
323 967 101
641 112 277
101 849 793
765 687 670
658 529 410
272 535 783
553 881 636
708 794 866
827 98 190
182 232 891
587 938 11
351 914 279
64 44 733
605 461 848
962 514 546
683 890 648
261 166 889
289 211 71
909 306 425
901 957 928
759 103 644
595 64 20
830 643 613
357 513 752
359 939 421
26 64 737
832 96 871
922 969 738
842 269 215
117 317 935
399 538 813
